code,priority
LU001,1
CY001,3
NO001,1
IE001,1
DK001,1
NL002,1
PL001,1
EL001,1
MT001,3
SI001,1
EE001,1
SK001,1
LT001,1
LV001,1
HR001,1
CH001,1
FI001,1
BG001,1
CZ001,1
SE001,1
RO001,1
BE001,1
HU001,1
IT001,1
DE001,1
ES001,1
UK001,2
FR001,2
AL001,3
AT001,1
BA001,3
IS001,1
ME001,3
MK001,3
RS001,3
XK001,3
DE038,4
ES002,4
IT002,4
IT003,4
UK008,4
DE002,4
UK002,4
PT001,4
DE003,4
DE007,4
DE005,4
UK003,4
FR003,4
DE004,4
UK004,4
ES003,4
IT004,4
DE011,4
ES004,4
UK006,4
FR009,4
FR004,4
DE014,4
DE009,4
DE013,4
DE012,4
PT002,4
FR007,4
UK010,4
DE084,4
UK013,4
BE002,4
DE008,4
ES019,4
SE002,4
FR205,4
IT005,4
PL010,4
FR203,4
NL003,4
PL003,4
PL006,4
CZ003,4
DE083,5
EL002,5
PL005,5
PL002,5
FR008,5
UK011,5
UK009,5
DE034,5
UK029,5
PL004,5
ES006,5
NL001,5
UK007,5
UK014,5
DK002,5
DE040,5
FR006,5
CZ002,5
IT007,5
ES005,5
UK012,5
BE005,5
IT009,5
IT008,5
NL004,5
DE035,5
IT006,5
NL005,5
FR215,5
FR010,5
DE522,5
ES010,5
PL009,5
FR026,5
FR013,5
DE033,5
ES008,5
DE039,5
IT010,5
DE027,5
ES007,5
SE003,5
UK026,5
BE003,5
DK004,5
IT011,5
UK025,5
FR032,5
ES501,5
ES022,5
BG002,5
DE507,5
CH002,5
UK560,5
UK023,5
IT028,5
DE032,5
UK539,5
DE504,5
DE517,5
FR035,5
IT012,5
FR016,5
PL015,5
CH003,5
PL008,5
DE524,5
DE019,5
FR022,5
BE004,5
DK003,5
UK568,5
PL007,5
UK016,5
FR011,5
ES025,5
NL007,5
IT027,5
UK027,5
DE532,5
IT029,5
UK559,5
UK528,5
ES021,5
DE534,5
RO502,5
DE020,5
DE529,5
UK515,5
DE028,5
FR023,5
DE025,5
FR019,5
ES009,5
DE513,5
PL011,5
DE018,5
RO501,5
DE045,5
IT022,5
BG003,5
ES026,5
FR036,5
DE043,5
DE073,5
DE510,5
IE002,5
DE037,5
DE540,5
FR020,5
PL024,5
NL009,5
DE520,5
NL008,5
FR040,5
UK516,5
PL012,5
RO504,5
NO002,5
FR043,5
LT002,5
UK566,5
ES015,5
DE021,5
UK517,5
CZ004,5
RO002,5
ES014,5
DE061,5
FR038,5
UK520,5
FR017,5
PL506,5
FI002,5
FR037,5
ES020,5
SK002,5
CH004,5
UK562,5
IT030,5
RO003,5
FR018,5
UK518,5
HR005,5
CH005,5
DE546,5
FR014,5
ES510,5
FR044,5
UK018,5
DE544,5
HU005,5
DE017,5
RO004,5
IT503,5
FR012,5
FR034,5
FR024,5
UK553,5
RO503,5
SI002,5
UK546,5
FR039,5
ES533,5
PL013,5
NO004,5
DE042,5
ES013,5
FI003,5
UK552,5
DE533,5
DE069,5
DE527,5
IT511,5
PL514,5
NL013,5
DE031,5
ES023,5
HU002,5
FR207,5
DE523,5
RO505,5
NL012,5
PL025,5
UK557,5
DE052,5
BG004,5
IT016,5
IT501,5
UK017,5
IT505,5
FR048,5
FR045,5
IT502,5
DE542,5
HU009,5
NL503,5
DE537,5
FR025,5
PT005,5
DE044,5
NL006,5
DE054,5
SE006,5
FR021,5
DE077,5
ES012,5
UK033,5
DE074,5
NO003,5
ES505,5
DE064,5
FR042,5
CZ007,5
ES522,5
PL020,5
UK569,5
PL014,5
FR046,5
DE036,5
HU004,5
PL016,5
DE057,5
DE079,5
DE026,5
DE059,5
PT003,5
IT032,5
CZ005,5
IT508,5
ES520,5
HU007,5
HU006,5
FR214,5
CY501,5
NL015,5
DE053,5
DE505,5
HU003,5
RO006,5
DE078,5
UK558,5
ES506,5
DE063,5
FI004,5
IT035,5
NL014,5
DE081,5
IT514,5
CZ006,5
IT014,5
IT015,5
IT019,5
NL511,5
IT037,5
ES521,5
BE006,5
FI009,5
DE071,5
ES514,5
RO005,5
PT004,5
DE508,5
FR049,5
IT017,5
RO007,5
PL026,5
DE539,5
BE008,5
BE007,5
ES508,5
IT025,5
ES525,5
EL003,5
FR053,5
ES523,5
HR002,5
DE065,5
RO506,5
DE050,5
IT026,5
DE062,5
CH008,5
DE067,5
DE066,5
PL027,5
EL004,5
PL018,5
RO009,5
FR051,5
DE072,5
RO008,5
ES516,5
NL514,5
UK019,5
DE051,5
ES515,5
FR056,5
IT507,5
FR209,5
ES011,5
UK571,5
NL515,5
IT033,5
DE535,5
BE009,5
EL005,5
FR506,5
SE007,5
FR068,5
ES018,5
FR058,5
IT042,5
ES519,5
PL030,5
CZ011,5
IT043,5
IT034,5
FR050,5
IT036,5
DE547,5
PL045,5
SE008,5
NL504,5
IT048,5
CZ008,5
IT041,5
HU008,5
IT509,5
ES528,5
BG006,5
FR063,5
FR066,5
NL505,5
RO507,5
PL513,5
FR067,5
UK056,5
HR004,5
RO010,5
PT505,5
IT513,5
FR519,5
IE004,5
ES017,5
IT506,5
IT504,5
UK024,5
UK050,5
FR065,5
PL511,5
DE060,5
DE058,5
FR061,5
DE048,5
FR052,5
ES033,5
FI007,5
IT515,5
PL022,5
IT031,5
BE010,5
PL029,5
IT512,5
SK005,5
CZ010,5
IT040,5
FR060,5
PL017,5
FR059,5
FR057,5
CZ009,5
IE003,5
HU011,5
RO508,5
BG008,5
IT521,5
ES527,5
PL028,5
SK004,5
BG005,5
SE004,5
IT516,5
PL512,5
FR064,5
DE516,5
ES054,5
SK006,5
NL507,5
NO005,5
IT024,5
FR069,5
IT057,5
FR074,5
EE002,5
CH007,5
ES043,5
NL519,5
FI008,5
ES529,5
RO509,5
IT519,5
ES016,5
NL512,5
NL016,5
HU010,5
PL032,5
FR082,5
SE005,5
FR062,5
DE030,5
CH006,5
RO510,5
RO512,5
PL031,5
IT058,5
NL010,5
FR076,5
PT008,5
ES543,5
PL508,5
ES044,5
PL039,5
FR086,5
IT060,5
HU012,5
PL041,5
PL019,5
CH009,5
EL006,5
FR084,5
ES532,5
RO511,5
FR304,5
FR073,5
LT003,5
FR096,5
NL521,5
HU013,5
PL516,5
EL007,5
IT046,5
RO011,5
IT518,5
FR505,5
IT023,5
IT013,5
FR077,5
SK007,5
NL020,5
RO513,5
IT039,5
PL517,5
BE011,5
FR093,5
RO018,5
RO015,5
NL522,5
CZ018,5
ES039,5
FR208,5
ES050,5
BG009,5
IT522,5
FR079,5
ES028,5
PL040,5
IT021,5
ES031,5
LV501,5
PL033,5
ES034,5
FR099,5
PT009,5
CZ013,5
FR090,5
NL520,5
NL513,5
HU014,5
PL048,5
ES048,5
CZ016,5
PL036,5
IT045,5
NL032,5
SK008,5
BG015,5
HU015,5
CZ014,5
BG010,5
SK003,5
LV002,5
HU018,5
ES046,5
RO016,5
DE530,5
RO014,5
RO022,5
NL026,5
ES072,5
HR003,5
ES550,5
ES545,5
PL049,5
IT052,5
PL037,5
ES053,5
FR027,5
ES040,5
HU016,5
IT020,5
IT524,5
PL044,5
BG011,5
RO021,5
PT014,5
RO017,5
HU019,5
IT068,5
ES041,5
IE005,5
IT526,5
BG013,5
BG016,5
IT520,5
IT073,5
CH010,5
PL043,5
ES035,5
BG014,5
LV003,5
NL028,5
RO020,5
PL034,5
RO012,5
PL047,5
FR104,5
BG017,5
PL042,5
RO019,5
PT016,5
NL524,5
HU017,5
ES057,5
FR324,5
PL035,5
PL021,5
ES546,5
DE082,5
IT066,5
IT523,5
PL038,5
NL030,5
IT069,5
PL051,5
IT047,5
ES547,5
ES070,5
DE055,5
IT054,5
PL046,5
ES552,5
NO006,5
RO013,5
BG018,5
ES537,5
DE056,5
PL052,5
ES059,5
EL008,5
IT061,5
NL529,5
EL009,5
BG007,5
IT064,5
PT019,5
ES544,5
ES538,5
ES542,5
IT056,5
DE029,5
IT067,5
IT525,5
IT065,5
DE549,5
UK550,5
DE548,5
SE503,5
SE501,5
SE502,5
HR007,5
SE505,5
HR006,5
AL003,5
AL004,5
AL005,5
AT002,5
AT003,5
AT004,5
AT005,5
AT006,5
BA002,5
BA003,5
BA004,5
BA005,5
EE003,5
FR047,5
IT038,5
LT004,5
LT501,5
LT502,5
MK003,5
MK004,5
MK005,5
RS002,5
RS003,5
RS004,5
RS005,5
RS006,5
RS008,5
RS009,5
RS011,5
RS012,5
RS013,5
RS014,5
RS015,5
RS016,5
UK551,5
XK002,5
XK003,5
